parameter,value
dt0,0.006031423585745703
log_fp,-6.274690757077457
c2,-0.0009999999999999961
c4,-0.0008883890280062141
baseline,0.9970000000000775
t0,2455756.4312314237
fp,0.0018833733836230366
rp,0.07041
a_rs,8.28
inc_deg,84.91
ecc,0.50829
w_deg,188.25
ecosw,-0.5030299034065702
esinw,-0.07293586483189643
c1_fixed,0.0
c3_fixed,0.0
least_squares_cost,349137.8726083295
fit_success,1.0
rms_residual,0.006450700009548479
