parameter,value
dt0,0.0059093392207486
log_fp,-6.274536953420811
c2,-0.0009994430435199951
c4,-0.0009325994247185113
baseline,0.997017434031914
t0,2455756.431109339
fp,0.0018836630756135406
rp,0.07041
a_rs,8.28
inc_deg,84.91
ecc,0.50829
w_deg,188.25
ecosw,-0.5030299034065702
esinw,-0.07293586483189643
least_squares_cost,349137.8726083295
fit_success,1.0
rms_residual,0.006450784373835141
